Druck Unsicherheit Kanal0 Kanal1 Kanal2 Kanal3 Kanal4 Kanal5 Kanal6 Kanal7 Kanal8 Kanal9 Kanal10 Kanal11 Kanal12 Kanal13 Kanal14 Kanal15 Kanal16 Kanal17 Kanal18 Kanal19 Kanal20 Kanal21 Kanal22 Kanal23 Kanal24 Kanal25 Kanal26 Kanal27 Kanal28 Kanal29 Kanal30 Kanal31 Kanal32 Kanal33 Kanal34 Kanal35 Kanal36 Kanal37 Kanal38 Kanal39 Kanal40 Kanal41 Kanal42 Kanal43
-999.935612 7.10001381 10241.0 13505.0 801.0 596.0 581.0 564.0 306.0 31.0 6.0 48.0 30729.0 30724.0 30743.0 31098.0 30834.0 30977.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2698.0 38458.0 63687.0 15219.0 32458.0 25551.0 34150.0 43605.0
-1000.17723 7.10000512 10241.0 13508.0 801.0 596.0 581.0 564.0 306.0 30.0 6.0 48.0 30727.0 30722.0 30741.0 31097.0 30833.0 30974.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2917.0 38458.0 63687.0 15219.0 32458.0 25551.0 64918.0 43605.0
-1000.33189 7.10002282 10241.0 13511.0 801.0 596.0 581.0 564.0 306.0 31.0 6.0 48.0 30727.0 30722.0 30745.0 31097.0 30834.0 30975.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3136.0 38458.0 63687.0 15219.0 32458.0 25551.0 22673.0 43605.0
-1000.33857 7.10003136 10241.0 13514.0 801.0 596.0 581.0 564.0 307.0 30.0 6.0 48.0 30728.0 30724.0 30744.0 31097.0 30835.0 30976.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3355.0 38455.0 63687.0 15219.0 32458.0 25551.0 24596.0 43605.0
-1000.21785 7.10006294 10241.0 13517.0 801.0 596.0 581.0 564.0 307.0 31.0 6.0 48.0 30729.0 30722.0 30743.0 31098.0 30835.0 30976.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3574.0 38458.0 63687.0 15219.0 32458.0 25551.0 23754.0 43605.0
-1000.34773 7.10006614 10241.0 13520.0 801.0 596.0 581.0 564.0 307.0 30.0 7.0 48.0 30730.0 30725.0 30743.0 31095.0 30834.0 30977.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3793.0 38455.0 63687.0 15219.0 32458.0 25551.0 37942.0 43605.0
-1000.4015 7.10004586 10241.0 13523.0 801.0 596.0 581.0 564.0 307.0 31.0 6.0 48.0 30728.0 30722.0 30742.0 31098.0 30836.0 30976.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4012.0 38458.0 63687.0 15219.0 32458.0 25551.0 38570.0 43605.0
-1000.32731 7.09993799 10241.0 13526.0 801.0 596.0 581.0 564.0 307.0 31.0 6.0 48.0 30730.0 30722.0 30743.0 31095.0 30834.0 30977.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4231.0 38458.0 63687.0 15219.0 32458.0 25551.0 47919.0 43605.0
-1000.24227 7.10000864 10241.0 13529.0 801.0 596.0 581.0 564.0 306.0 31.0 6.0 48.0 30729.0 30723.0 30746.0 31098.0 30836.0 30978.0 54948.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4450.0 38458.0 63687.0 15219.0 32458.0 25551.0 24475.0 43605.0
-1000.06358 7.10005196 10241.0 13532.0 801.0 596.0 581.0 564.0 306.0 30.0 6.0 48.0 30731.0 30725.0 30746.0 31101.0 30837.0 30980.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4669.0 38455.0 63687.0 15219.0 32458.0 25551.0 59067.0 43605.0
-999.971859 7.09996073 10241.0 13535.0 801.0 596.0 581.0 564.0 306.0 30.0 7.0 48.0 30730.0 30725.0 30745.0 31099.0 30837.0 30978.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4888.0 38455.0 63687.0 15219.0 32458.0 25551.0 21613.0 43605.0
